,JOB,CANTIERE,UNITID,WBS,LINEA,COPR_AREA,SUBSYTEM,MAIN_AREA,AREAS,SPOOL_CODE,SPOOL_TYPE,REVISIONE,DESMAT,IDMATER,BUONI,MAX_DATE_MOV,SURFACE,PAINTING_STATUS,AVG_DIAM,PESORICH,PESOPREL,SOTTOCOMM,WELDCAT,DIAINCHRICH,DIAINCHDONE,DIAINCHBALANCE,FACTOREDDIAINCHRICH,FACTOREDDIAINCHDONE,FACTOREDDIAINCHBALANCE,IN_CHARGE,CURRENT_MACROAREA,ENTERED_ON,CURRENT_MICROAREA,RELEASE_ON,KIND,NEXT_MACROAREA
9531,835057,S1,2710.0,2710,2710-OD-5995-PAR-052_A,R52,,__A, __A,PAR-052-A-2710-OD-5995-SP02,K,0,STAINLESS STEEL                                   ,INX, WH1 LARS01 40,05/10/24,6.49,,3.0,79.2,79.2,12.0,SHOP,10.5,0,10.5,10.5,0,0,,,,,,,
22593,835057,S1,2710.0,2710,2710-LSS-5115-SB-D1_A,SD1,,__R, **R __R,SB-D1-A-2710-LSS-5115-SP02,K,0,CARBON STEEL                                      ,CAR,,,3.06,,2.0,33.3,0.0,14.0,FIELD,0.84,0,0.84,1.18570397111913,0,0,,,,,,,
5152,835057,S1,3980.0,3980,3980-WWO-8045-PAR-039_A,R39,3950-015-P003,__A, __A,PAR-039-A-3980-WWO-8045-SP05,K,0,CARBON STEEL                                      ,CAR, WH1 LARS01 36,25/09/24,4.7,,2.0,47.68,47.68,12.0,SHOP,2.375,0,2.375,2.375,0,0,,,,,,,
31237,835057,S1,3750.0,3750,3750-PC-8002-PAR-022A_A,R22A,0000-085-E025,__A, __A,PAR-022A-A-3750-PC-8002-SP03,K,0,STAINLESS STEEL                                   ,INX, WH1 LARS01 2,14/05/24,,,8.0,160.0,160.0,12.0,SHOP,8.625,0,8.625,8.625,0,0,,,,,,,
17515,835057,S1,2710.0,2710,2710-GA-5003-PAR-052_A,R52,,__A, __A,PAR-052-A-2710-GA-5003-SP01,K,1,CARBON STEEL                                      ,KAL, WH1 LARS01 76,17/12/24,0.98,,3.0,18.89,18.89,12.0,FIELD,3.5,0,3.5,3.5,0,0,,,,,,,
35637,835057,S1,2630.0,2630,2630-AW-4912-PAR-017_A,R17,,__A, __A,PAR-017-A-2630-AW-4912-SP03,K,0,CARBON STEEL                                      ,KAL,,,3.11,,2.0,31.1,0.0,12.0,FIELD,2.375,0,2.375,2.375,0,0,,,,,,,
16985,835057,S1,2620.0,2620,2620-LSS-6978-SB-C2_A,SGC2,2610-039-P004,__R, __R,SB-C2-A-2620-LSS-6978-SP01,K,0,CARBON STEEL                                      ,CAR,,,0.36,,2.0,3.26,0.0,14.0,FIELD,2.375,0,2.375,2.375,0,0,,,,,,,
31443,835057,S1,3920.0,3920,3920-CH-8013-PAU-018A_A,U18A,0000-085-E025,__A, __A,PAU-018A-A-3920-CH-8013-SP02,K,0,STAINLESS STEEL                                   ,INX, WH1 LARS01 51,07/11/24,1.9,,1.0,32.2,32.2,12.0,SHOP,6.575,0,6.575,6.575,0,0,,,,,,,
1608,835057,S1,2710.0,2710,2710-UA-5906-SB-D1_A,SD1,,__R, **R __R,SB-D1-A-2710-UA-5906-SP02,K,0,CARBON STEEL                                      ,CAR,,,0.08,,1.0,2.05,0.0,14.0,SHOP,3.945,0,3.945,3.945,0,0,,,,,,,
24018,835057,S1,1300.0,1300,1300-PC-0037-PAU-007_A,U7,,__A, __A,PAU-007-A-1300-PC-0037-SP07,,0,STAINLESS STEEL                                   ,INX,,,,,0.0,,,12.0,SHOP,9.0,0,9.0,9.0,0,0,,,,,,,
21367,835057,S1,1300.0,1300,1300-IA-3868-PAU-007_A,U7,,__A, __A,PAU-007-A-1300-IA-3868-SP02,K,0,STAINLESS STEEL                                   ,INX, WH1 LARS01 67,04/12/24,0.81,,1.0,14.25,14.25,12.0,FIELD,3.945,0,3.945,2.63,0,0,,,,,,,
11380,835057,S1,2610.0,2610,2610-LC-4928-PAR-051_A,R51,2610-034-P003,__A, **A __A,PAR-051-A-2610-LC-4928-SP04,K,1,CARBON STEEL                                      ,CAR, WH1 LARS01 76,17/12/24,0.13,,0.75,2.45,2.45,12.0,FIELD,4.2,0,4.2,4.13414634146341,0,0,,,,,,,
16051,835057,S1,1300.0,1300,1300-LS-3940-SB-A1_A,,,**R, **R,SB-A1-A-1300-LS-3940-SP01,K,0,CARBON STEEL                                      ,CAR,,,0.08,,1.0,1.5,0.0,14.0,SHOP,1.315,0,1.315,1.315,0,0,,,,,,,
